model,fips_state,hyperparameter,initial_guess,season_2025-2026,exclude_None
SIR-1S,0,rho_h_s_0,0.4525962069276534,0.4749083210375586,0.4509799144479841
SIR-1S,0,rho_h_scale_0,0.011972654,0.010743019,0.012684971
SIR-1S,0,f_R_mu_0,0.3437471387673027,0.3710648018685309,0.3518475589170764
SIR-1S,0,f_R_sigma_0,0.027987961,0.026556157,0.011470776
SIR-1S,0,f_I_s_0,1.1039052436006065,0.8366383547009336,0.6707003132441143
SIR-1S,0,f_I_scale_0,6.343681690939766e-05,7.269943344236188e-05,7.133963455305878e-05
SIR-1S,0,beta_mu_0,0.4535258794011187,0.479965293,0.4582261779764715
SIR-1S,0,beta_sigma_0,0.006954452,0.012682846,0.00666426
SIR-1S,0,delta_beta_temporal_mu_0,0.06696715,0.060867505,0.047013121
SIR-1S,0,delta_beta_temporal_mu_1,0.1162152164041881,0.091912832,0.1068317030809884
SIR-1S,0,delta_beta_temporal_mu_2,0.1107541570706063,0.071081054,0.097638241
SIR-1S,0,delta_beta_temporal_mu_3,0.1305355840272009,0.092366882,0.1200000069036848
SIR-1S,0,delta_beta_temporal_mu_4,0.2765137354504713,0.2321697519188088,0.2586975250444607
SIR-1S,0,delta_beta_temporal_mu_5,-0.071771802,-0.049985462,-0.068493272
SIR-1S,0,delta_beta_temporal_mu_6,-0.001665684,0.035974953,-0.000552804
SIR-1S,0,delta_beta_temporal_mu_7,0.074395114,0.060577517,0.068669015
SIR-1S,0,delta_beta_temporal_mu_8,0.010803139,0.024302791,0.005093125
SIR-1S,0,delta_beta_temporal_mu_9,-0.002629326,0.008575687,-0.005066325
SIR-1S,0,delta_beta_temporal_mu_10,-0.053589744,-0.008063399,-0.038018986
SIR-1S,0,delta_beta_temporal_mu_11,-0.010033117,0.007592315,-0.01144796
SIR-1S,0,delta_beta_temporal_sigma_0,0.053118556,0.04847245,0.07925588
SIR-1S,0,delta_beta_temporal_sigma_1,0.009246121,0.026796481,0.016417891
SIR-1S,0,delta_beta_temporal_sigma_2,0.047435275,0.044728005,0.049492795
SIR-1S,0,delta_beta_temporal_sigma_3,0.035123302,0.029766017,0.037818919
SIR-1S,0,delta_beta_temporal_sigma_4,0.035264488,0.029370345,0.056272386
SIR-1S,0,delta_beta_temporal_sigma_5,0.045394724,0.036998043,0.053115976
SIR-1S,0,delta_beta_temporal_sigma_6,0.076086468,0.052692946,0.08898266
SIR-1S,0,delta_beta_temporal_sigma_7,0.019181489,0.032121883,0.012748827
SIR-1S,0,delta_beta_temporal_sigma_8,0.091827086,0.1081467179807072,0.090591669
SIR-1S,0,delta_beta_temporal_sigma_9,0.064606134,0.086393878,0.069870589
SIR-1S,0,delta_beta_temporal_sigma_10,0.08956108,0.091152931,0.09660453
SIR-1S,0,delta_beta_temporal_sigma_11,0.1056692909733484,0.1327522160419801,0.1012697389507427
SIR-1S,1,rho_h_s_0,0.2939327822546073,0.348360378,0.2161648902269886
SIR-1S,1,rho_h_scale_0,0.005349047,0.006686308,0.007949361
SIR-1S,1,f_R_mu_0,0.2914421099715434,0.329840122,0.3412318155274214
SIR-1S,1,f_R_sigma_0,0.023364735,0.022403166,0.019985423
SIR-1S,1,f_I_s_0,1.4827951696990318,0.70552083,0.5369719335465128
SIR-1S,1,f_I_scale_0,4.157472062734937e-05,8.22e-05,8.07016152223972e-05
SIR-1S,1,beta_mu_0,0.4641101999602919,0.478353536,0.4711371632396713
SIR-1S,1,beta_sigma_0,0.00839467,0.013764663,0.012796663
SIR-1S,1,delta_beta_temporal_mu_0,-0.052572692,-0.00997445,-0.010604199
SIR-1S,1,delta_beta_temporal_mu_1,-0.002539417,0.001492447,0.025792963
SIR-1S,1,delta_beta_temporal_mu_2,-0.014009942,-0.004222046,0.004747262
SIR-1S,1,delta_beta_temporal_mu_3,0.08600334,0.071830983,0.096423558
SIR-1S,1,delta_beta_temporal_mu_4,0.1664576175948364,0.170659772,0.22822582
SIR-1S,1,delta_beta_temporal_mu_5,-0.138459882,-0.106304816,-0.140447127
SIR-1S,1,delta_beta_temporal_mu_6,-0.02395017,0.001786245,-0.007556211
SIR-1S,1,delta_beta_temporal_mu_7,0.057757902,-0.004651018,0.049248768
SIR-1S,1,delta_beta_temporal_mu_8,-0.026271311,0.000375203,-0.046528473
SIR-1S,1,delta_beta_temporal_mu_9,0.024019519,0.08523697,0.013251586
SIR-1S,1,delta_beta_temporal_mu_10,-0.003430827,0.011491629,-0.014906781
SIR-1S,1,delta_beta_temporal_mu_11,-0.005750471,-0.046025714,-0.040241976
SIR-1S,1,delta_beta_temporal_sigma_0,0.052662399,0.04057902,0.041999335
SIR-1S,1,delta_beta_temporal_sigma_1,0.016356296,0.026635366,0.027508073
SIR-1S,1,delta_beta_temporal_sigma_2,0.032280157,0.039085152,0.030961921
SIR-1S,1,delta_beta_temporal_sigma_3,0.03505146,0.04184437,0.039361025
SIR-1S,1,delta_beta_temporal_sigma_4,0.053633004,0.040769701,0.040647722
SIR-1S,1,delta_beta_temporal_sigma_5,0.069513515,0.068058692,0.046984657
SIR-1S,1,delta_beta_temporal_sigma_6,0.054710424,0.088196415,0.077384533
SIR-1S,1,delta_beta_temporal_sigma_7,0.094758104,0.042192127,0.080712575
SIR-1S,1,delta_beta_temporal_sigma_8,0.067469408,0.058101506,0.040151902
SIR-1S,1,delta_beta_temporal_sigma_9,0.084967546,0.041900039,0.102330201
SIR-1S,1,delta_beta_temporal_sigma_10,0.054156977,0.049472328,0.035202423
SIR-1S,1,delta_beta_temporal_sigma_11,0.046342901,0.053286445,0.041714393
SIR-1S,2,rho_h_s_0,0.3624812629883056,0.150439801,0.1238251376686525
SIR-1S,2,rho_h_scale_0,0.003355149,0.009784923,0.009708847
SIR-1S,2,f_R_mu_0,0.3022115138193884,0.351348945,0.3569465050657051
SIR-1S,2,f_R_sigma_0,0.004719892,0.024546412,0.016157832
SIR-1S,2,f_I_s_0,1.3794886488281275,0.331280453,0.2410940311897382
SIR-1S,2,f_I_scale_0,0.000132077,0.000382597,0.000312792
SIR-1S,2,beta_mu_0,0.4740536785358232,0.466382054,0.4708624376625407
SIR-1S,2,beta_sigma_0,0.00583182,0.018082804,0.011408526
SIR-1S,2,delta_beta_temporal_mu_0,-0.015334314,-0.001044804,0.012213735
SIR-1S,2,delta_beta_temporal_mu_1,-0.015637267,-0.030934715,-0.016095636
SIR-1S,2,delta_beta_temporal_mu_2,-0.009454224,-0.045732629,-0.014770908
SIR-1S,2,delta_beta_temporal_mu_3,0.020610932,-0.024228699,-0.000313919
SIR-1S,2,delta_beta_temporal_mu_4,0.049126786,0.019267254,0.066350514
SIR-1S,2,delta_beta_temporal_mu_5,-0.022179394,0.000127482,-0.016786601
SIR-1S,2,delta_beta_temporal_mu_6,-0.025174726,-0.035734655,-0.053754751
SIR-1S,2,delta_beta_temporal_mu_7,0.030198896,0.042983777,0.02344855
SIR-1S,2,delta_beta_temporal_mu_8,0.044978696,0.066487045,0.04180412
SIR-1S,2,delta_beta_temporal_mu_9,0.034496161,-0.005805863,0.028042278
SIR-1S,2,delta_beta_temporal_mu_10,0.011625986,0.0124138,0.008844561
SIR-1S,2,delta_beta_temporal_mu_11,0.009938633,-0.011458458,-0.003275873
SIR-1S,2,delta_beta_temporal_sigma_0,0.035021851,0.072956817,0.060418632
SIR-1S,2,delta_beta_temporal_sigma_1,0.003399528,0.026154438,0.020725081
SIR-1S,2,delta_beta_temporal_sigma_2,0.031771293,0.068379935,0.065387046
SIR-1S,2,delta_beta_temporal_sigma_3,0.045349644,0.08352731,0.1004798524893668
SIR-1S,2,delta_beta_temporal_sigma_4,0.064621896,0.054369896,0.098252942
SIR-1S,2,delta_beta_temporal_sigma_5,0.029755278,0.058717322,0.047685348
SIR-1S,2,delta_beta_temporal_sigma_6,0.035605234,0.069314787,0.053879048
SIR-1S,2,delta_beta_temporal_sigma_7,0.0165544,0.053775008,0.040127335
SIR-1S,2,delta_beta_temporal_sigma_8,0.035042297,0.071522339,0.049493501
SIR-1S,2,delta_beta_temporal_sigma_9,0.010565857,0.024678929,0.038815411
SIR-1S,2,delta_beta_temporal_sigma_10,0.004700132,0.027332633,0.022122442
SIR-1S,2,delta_beta_temporal_sigma_11,0.007281284,0.015029453,0.0232433
SIR-1S,4,rho_h_s_0,0.3690326064930855,0.185684262,0.1263238163496724
SIR-1S,4,rho_h_scale_0,0.008864837,0.015998672,0.01622382
SIR-1S,4,f_R_mu_0,0.2692446740833771,0.309808079,0.3320538469490264
SIR-1S,4,f_R_sigma_0,0.031268023,0.029238046,0.033567859
SIR-1S,4,f_I_s_0,0.4365716100184872,0.137632278,0.09838136
SIR-1S,4,f_I_scale_0,2.6457698130524156e-05,3.05e-05,3.9782179957865144e-05
SIR-1S,4,beta_mu_0,0.4571388129873361,0.463357581,0.4635867178913246
SIR-1S,4,beta_sigma_0,0.005072096,0.01191333,0.011971896
SIR-1S,4,delta_beta_temporal_mu_0,-0.009893957,0.042411771,0.009403678
SIR-1S,4,delta_beta_temporal_mu_1,0.00240163,0.066379397,0.051413195
SIR-1S,4,delta_beta_temporal_mu_2,-0.017769074,-0.001292114,0.024949408
SIR-1S,4,delta_beta_temporal_mu_3,0.013761278,0.005441252,0.036192871
SIR-1S,4,delta_beta_temporal_mu_4,0.1311402321634866,0.120960498,0.1789274440699752
SIR-1S,4,delta_beta_temporal_mu_5,-0.167220698,-0.152343892,-0.169407182
SIR-1S,4,delta_beta_temporal_mu_6,-0.072337616,-0.077071583,-0.043363139
SIR-1S,4,delta_beta_temporal_mu_7,-0.042381014,-0.099628144,-0.023269306
SIR-1S,4,delta_beta_temporal_mu_8,-0.010240235,0.019038288,-0.013132658
SIR-1S,4,delta_beta_temporal_mu_9,-0.052426297,-0.049700638,-0.057329695
SIR-1S,4,delta_beta_temporal_mu_10,-0.053527699,-0.050720915,-0.071638266
SIR-1S,4,delta_beta_temporal_mu_11,-0.014273119,-0.002883337,-0.045656366
