fips_state,name_state,start_backfill_window,end_backfill_window,p_02_mean,p_12_mean
0,USA,2026-01-24,2026-02-14,0.879,0.99
1,AL,2026-01-24,2026-02-14,0.498,0.993
2,AK,2026-01-24,2026-02-14,0.78,0.95
4,AZ,2026-01-24,2026-02-14,0.949,0.995
5,AR,2026-01-24,2026-02-14,0.856,0.985
6,CA,2026-01-24,2026-02-14,0.838,0.995
8,CO,2026-01-24,2026-02-14,0.905,0.991
9,CT,2026-01-24,2026-02-14,0.979,0.996
10,DE,2026-01-24,2026-02-14,0.898,0.96
11,DC,2026-01-24,2026-02-14,0.829,0.973
12,FL,2026-01-24,2026-02-14,0.836,0.996
13,GA,2026-01-24,2026-02-14,0.893,0.992
15,HI,2026-01-24,2026-02-14,0.858,0.98
16,ID,2026-01-24,2026-02-14,0.9,0.989
17,IL,2026-01-24,2026-02-14,0.953,0.994
18,IN,2026-01-24,2026-02-14,0.882,0.957
19,IA,2026-01-24,2026-02-14,0.921,0.989
20,KS,2026-01-24,2026-02-14,0.887,0.979
21,KY,2026-01-24,2026-02-14,0.895,0.979
22,LA,2026-01-24,2026-02-14,0.8,0.992
23,ME,2026-01-24,2026-02-14,0.856,0.973
24,MD,2026-01-24,2026-02-14,0.914,0.98
25,MA,2026-01-24,2026-02-14,0.952,0.994
26,MI,2026-01-24,2026-02-14,0.863,0.957
27,MN,2026-01-24,2026-02-14,0.996,0.999
28,MS,2026-01-24,2026-02-14,0.893,0.977
29,MO,2026-01-24,2026-02-14,0.783,0.986
30,MT,2026-01-24,2026-02-14,0.795,0.962
31,NE,2026-01-24,2026-02-14,0.956,0.991
32,NV,2026-01-24,2026-02-14,0.841,0.987
33,NH,2026-01-24,2026-02-14,0.768,0.952
34,NJ,2026-01-24,2026-02-14,0.997,0.999
35,NM,2026-01-24,2026-02-14,1.0,0.951
36,NY,2026-01-24,2026-02-14,0.822,0.974
37,NC,2026-01-24,2026-02-14,0.976,0.997
38,ND,2026-01-24,2026-02-14,1.0,1.0
39,OH,2026-01-24,2026-02-14,0.917,0.997
40,OK,2026-01-24,2026-02-14,0.723,0.95
41,OR,2026-01-24,2026-02-14,0.72,0.945
42,PA,2026-01-24,2026-02-14,0.956,0.995
44,RI,2026-01-24,2026-02-14,0.911,0.985
45,SC,2026-01-24,2026-02-14,0.894,0.987
46,SD,2026-01-24,2026-02-14,0.814,0.979
47,TN,2026-01-24,2026-02-14,0.921,0.995
48,TX,2026-01-24,2026-02-14,0.903,0.993
49,UT,2026-01-24,2026-02-14,0.824,0.984
50,VT,2026-01-24,2026-02-14,0.905,0.984
51,VA,2026-01-24,2026-02-14,0.92,0.99
53,WA,2026-01-24,2026-02-14,1.0,1.0
54,WV,2026-01-24,2026-02-14,0.942,0.993
55,WI,2026-01-24,2026-02-14,0.931,0.995
56,WY,2026-01-24,2026-02-14,0.927,0.987
72,PR,2026-01-24,2026-02-14,1.0,0.997
